Configuration,Metric,Run,Fold,Fold value,Run mean
Masked Strict Inductive,AUPRC,5,2,0.8829,0.8589600000000001
Masked Strict Inductive,AUPRC,5,3,0.8898,0.8589600000000001
Masked Strict Inductive,AUPRC,5,4,0.8132,0.8589600000000001
Masked Strict Inductive,AUPRC,5,5,0.8522,0.8589600000000001
Masked Strict Inductive,AUPRC,6,1,0.8187,0.85958
Masked Strict Inductive,AUPRC,6,2,0.8636,0.85958
Masked Strict Inductive,AUPRC,6,3,0.831,0.85958
Masked Strict Inductive,AUPRC,6,4,0.9081,0.85958
Masked Strict Inductive,AUPRC,6,5,0.8765,0.85958
Masked Strict Inductive,AUPRC,7,1,0.8257,0.85382
Masked Strict Inductive,AUPRC,7,2,0.8447,0.85382
Masked Strict Inductive,AUPRC,7,3,0.8808,0.85382
Masked Strict Inductive,AUPRC,7,4,0.8704,0.85382
Masked Strict Inductive,AUPRC,7,5,0.8475,0.85382
Masked Strict Inductive,AUPRC,8,1,0.8738,0.86466
Masked Strict Inductive,AUPRC,8,2,0.8507,0.86466
Masked Strict Inductive,AUPRC,8,3,0.8751,0.86466
Masked Strict Inductive,AUPRC,8,4,0.8638,0.86466
Masked Strict Inductive,AUPRC,8,5,0.8599,0.86466
Masked Strict Inductive,AUPRC,9,1,0.8241,0.8552
Masked Strict Inductive,AUPRC,9,2,0.8616,0.8552
Masked Strict Inductive,AUPRC,9,3,0.8874,0.8552
Masked Strict Inductive,AUPRC,9,4,0.8201,0.8552
Masked Strict Inductive,AUPRC,9,5,0.8828,0.8552
Masked Strict Inductive,AUPRC,10,1,0.8269,0.85638
Masked Strict Inductive,AUPRC,10,2,0.8646,0.85638
Masked Strict Inductive,AUPRC,10,3,0.868,0.85638
Masked Strict Inductive,AUPRC,10,4,0.8843,0.85638
Masked Strict Inductive,AUPRC,10,5,0.8381,0.85638
